,Turbine_ID,Timestamp,Gen_RPM_Max,Gen_RPM_Min,Gen_RPM_Avg,Gen_RPM_Std,Gen_Bear_Temp_Avg,Gen_Phase1_Temp_Avg,Gen_Phase2_Temp_Avg,Gen_Phase3_Temp_Avg
13061,T06,2016-01-01T03:10:00+00:00,236.0,117.1,176.2,36.6,36,40,41,40
176315,T06,2016-01-01T03:20:00+00:00,272.7,116.8,208.8,46.0,36,38,39,38
59102,T06,2016-01-01T03:30:00+00:00,268.2,222.3,245.0,12.8,35,37,37,37
64868,T06,2016-01-01T03:40:00+00:00,287.5,207.3,228.1,21.6,34,36,36,36
129834,T06,2016-01-01T03:50:00+00:00,299.3,199.4,245.8,26.4,33,35,35,36
31445,T06,2016-01-01T04:00:00+00:00,1341.9,240.1,812.0,461.1,32,36,36,36
13111,T06,2016-01-01T04:10:00+00:00,1411.8,155.8,710.2,489.0,32,37,36,36
59094,T06,2016-01-01T04:20:00+00:00,1262.3,1231.4,1248.6,5.7,32,38,39,38
176309,T06,2016-01-01T04:30:00+00:00,1267.9,203.6,600.7,482.0,33,40,40,40
59101,T06,2016-01-01T04:40:00+00:00,277.6,162.8,200.9,33.8,33,40,40,41
59097,T06,2016-01-01T04:50:00+00:00,1330.7,185.7,465.9,412.1,33,40,40,40
84424,T06,2016-01-01T05:00:00+00:00,1114.6,120.0,400.4,363.4,33,39,39,40
88253,T06,2016-01-01T05:10:00+00:00,220.7,155.9,183.2,12.9,33,39,39,40
176527,T06,2016-01-01T05:20:00+00:00,174.3,104.0,133.8,16.7,32,39,39,39
64837,T06,2016-01-01T05:30:00+00:00,137.3,58.7,101.3,24.2,32,39,39,39
140852,T06,2016-01-01T05:40:00+00:00,92.2,12.6,53.8,19.3,32,39,39,39
1880,T06,2016-01-01T05:50:00+00:00,20.6,0.0,5.4,7.7,31,39,39,39
58995,T06,2016-01-01T06:00:00+00:00,120.9,0.0,57.6,37.5,31,39,39,38
185469,T06,2016-01-01T06:10:00+00:00,140.6,54.2,100.0,31.4,31,38,38,38
64839,T06,2016-01-01T06:20:00+00:00,175.6,110.7,142.5,13.9,30,38,38,38
185467,T06,2016-01-01T06:30:00+00:00,263.0,151.7,204.1,27.6,30,37,37,37
31260,T06,2016-01-01T06:40:00+00:00,1411.1,240.9,665.5,472.9,30,37,37,37
59072,T06,2016-01-01T06:50:00+00:00,1269.6,1230.1,1248.6,6.7,30,38,38,38
140931,T06,2016-01-01T07:00:00+00:00,1260.1,1232.5,1248.5,5.0,32,41,41,40
84399,T06,2016-01-01T07:10:00+00:00,1260.7,197.4,931.1,455.2,34,43,43,43
129759,T06,2016-01-01T07:20:00+00:00,1391.0,244.4,1118.2,319.5,35,44,44,44
129750,T06,2016-01-01T07:30:00+00:00,1265.1,1231.1,1249.8,6.2,36,46,46,46
140929,T06,2016-01-01T07:40:00+00:00,1272.0,1227.3,1250.0,8.2,37,48,48,48
12098,T06,2016-01-01T07:50:00+00:00,1262.2,674.9,1245.1,39.8,39,49,49,50
64843,T06,2016-01-01T08:00:00+00:00,1396.1,228.5,569.0,437.6,39,47,48,48
88351,T06,2016-01-01T08:10:00+00:00,1262.0,1227.6,1249.7,5.3,39,47,48,48
176232,T06,2016-01-01T08:20:00+00:00,1270.5,1236.1,1250.9,5.9,39,48,48,49
140927,T06,2016-01-01T08:30:00+00:00,1370.1,80.5,834.5,477.4,39,47,48,48
129755,T06,2016-01-01T08:40:00+00:00,1278.6,1229.1,1250.6,8.2,39,47,48,48
129761,T06,2016-01-01T08:50:00+00:00,1269.6,1229.3,1248.5,6.3,39,47,48,48
13105,T06,2016-01-01T09:00:00+00:00,1260.3,1232.0,1249.0,4.4,39,47,48,48
176242,T06,2016-01-01T09:10:00+00:00,1261.9,216.2,853.7,484.4,39,47,47,47
129769,T06,2016-01-01T09:20:00+00:00,281.7,209.1,251.0,14.3,39,44,45,45
176487,T06,2016-01-01T09:30:00+00:00,1373.9,264.2,929.0,441.7,38,43,44,44
101230,T06,2016-01-01T09:40:00+00:00,1395.9,208.2,726.4,470.2,37,42,43,43
64793,T06,2016-01-01T09:50:00+00:00,1261.3,126.0,387.8,335.6,36,41,41,41
176247,T06,2016-01-01T10:00:00+00:00,236.0,123.9,182.8,28.2,36,39,39,39
13023,T06,2016-01-01T10:10:00+00:00,168.5,34.5,96.8,37.5,35,37,38,37
73966,T06,2016-01-01T10:20:00+00:00,60.7,0.0,28.1,17.3,34,35,37,36
153975,T06,2016-01-01T10:30:00+00:00,91.3,0.0,36.6,36.8,33,34,36,35
129945,T06,2016-01-01T10:40:00+00:00,1411.0,71.1,856.6,510.9,32,36,36,35
153971,T06,2016-01-01T10:50:00+00:00,1285.9,1225.5,1249.1,8.6,32,39,39,38
140886,T06,2016-01-01T11:00:00+00:00,1272.1,1222.9,1252.3,10.0,34,41,41,41
88297,T06,2016-01-01T11:10:00+00:00,1477.8,1217.8,1277.3,52.7,35,44,43,43
23253,T06,2016-01-01T11:20:00+00:00,1390.6,1222.6,1260.5,26.9,36,46,46,46
153964,T06,2016-01-01T11:30:00+00:00,1589.3,1237.6,1312.1,78.3,38,48,48,49
59104,T06,2016-01-01T11:40:00+00:00,1583.9,1229.7,1385.8,100.2,39,50,50,50
140861,T06,2016-01-01T11:50:00+00:00,1519.8,1226.1,1359.0,72.8,41,50,51,51
1918,T06,2016-01-01T12:00:00+00:00,1453.5,1234.1,1297.0,45.5,41,51,51,52
140859,T06,2016-01-01T12:10:00+00:00,1592.4,1250.5,1402.6,98.1,42,52,53,53
64848,T06,2016-01-01T12:20:00+00:00,1597.2,1245.3,1350.2,67.8,43,52,53,54
88341,T06,2016-01-01T12:30:00+00:00,1670.2,1273.5,1432.8,96.0,43,53,54,55
140912,T06,2016-01-01T12:40:00+00:00,1669.9,1287.9,1470.4,100.8,44,54,55,56
140913,T06,2016-01-01T12:50:00+00:00,1659.8,1244.4,1517.9,127.5,46,56,57,58
64846,T06,2016-01-01T13:00:00+00:00,1634.8,1233.5,1409.3,108.8,47,56,57,58
176519,T06,2016-01-01T13:10:00+00:00,1606.4,1243.8,1433.8,87.2,47,57,58,58
167451,T06,2016-01-01T13:20:00+00:00,1677.6,1241.0,1514.4,120.0,47,58,59,59
130005,T06,2016-01-01T13:30:00+00:00,1657.5,1281.0,1528.8,104.5,48,59,60,61
1914,T06,2016-01-01T13:40:00+00:00,1655.9,1244.8,1467.9,104.6,49,60,60,61
176507,T06,2016-01-01T13:50:00+00:00,1672.5,1269.7,1508.9,116.9,49,60,61,61
140943,T06,2016-01-01T14:00:00+00:00,1661.7,1261.5,1482.6,109.5,50,61,62,62
73995,T06,2016-01-01T14:10:00+00:00,1640.7,1232.9,1424.2,105.3,50,60,61,62
59043,T06,2016-01-01T14:20:00+00:00,1640.6,1247.2,1458.9,98.6,50,61,62,62
101324,T06,2016-01-01T14:30:00+00:00,1648.3,1234.8,1395.0,123.5,50,61,62,62
154062,T06,2016-01-01T14:40:00+00:00,1657.3,1274.3,1458.8,126.9,50,61,62,62
139137,T06,2016-01-01T14:50:00+00:00,1641.5,1247.3,1458.1,118.7,50,61,62,63
1928,T06,2016-01-01T15:00:00+00:00,1633.1,1262.0,1508.7,102.9,51,62,63,63
140937,T06,2016-01-01T15:10:00+00:00,1592.6,1227.6,1392.9,94.7,51,61,62,63
176508,T06,2016-01-01T15:20:00+00:00,1643.5,1235.3,1481.3,110.1,51,62,62,63
73997,T06,2016-01-01T15:30:00+00:00,1610.4,1235.0,1408.1,101.5,51,61,62,63
84360,T06,2016-01-01T15:40:00+00:00,1590.1,1256.6,1442.0,86.9,50,61,62,63
64812,T06,2016-01-01T15:50:00+00:00,1639.7,1257.4,1400.8,83.1,50,61,62,63
64135,T06,2016-01-01T16:00:00+00:00,1642.0,1247.4,1406.6,106.9,50,61,62,63
31366,T06,2016-01-01T16:10:00+00:00,1674.9,1240.1,1521.8,113.2,50,62,63,63
64804,T06,2016-01-01T16:20:00+00:00,1647.4,1265.2,1464.7,108.4,51,62,63,64
59088,T06,2016-01-01T16:30:00+00:00,1659.3,1278.3,1522.5,99.9,51,63,64,64
64141,T06,2016-01-01T16:40:00+00:00,1611.7,1228.7,1400.1,108.6,51,63,64,64
139193,T06,2016-01-01T16:50:00+00:00,1655.9,1229.6,1373.3,126.2,51,62,63,63
140950,T06,2016-01-01T17:00:00+00:00,1660.6,1229.5,1402.9,116.0,50,62,63,64
64137,T06,2016-01-01T17:10:00+00:00,1565.2,1221.8,1328.4,71.9,50,61,62,63
88369,T06,2016-01-01T17:20:00+00:00,1652.6,1258.7,1486.7,108.1,50,62,63,64
129988,T06,2016-01-01T17:30:00+00:00,1652.3,1243.2,1433.2,109.9,50,62,63,64
176495,T06,2016-01-01T17:40:00+00:00,1665.8,1244.1,1455.6,103.8,50,62,63,64
23285,T06,2016-01-01T17:50:00+00:00,1605.6,1224.9,1345.2,94.6,50,62,63,63
140890,T06,2016-01-01T18:00:00+00:00,1507.3,1234.5,1350.3,67.6,49,61,62,63
73986,T06,2016-01-01T18:10:00+00:00,1544.3,1227.6,1324.3,72.8,49,61,62,62
167422,T06,2016-01-01T18:20:00+00:00,1572.5,1244.2,1345.6,90.5,48,60,61,62
140893,T06,2016-01-01T18:30:00+00:00,1590.1,1224.7,1363.7,90.8,48,60,61,62
167425,T06,2016-01-01T18:40:00+00:00,1610.4,1240.8,1410.6,96.0,48,60,61,62
13050,T06,2016-01-01T18:50:00+00:00,1628.9,1229.4,1391.8,94.0,48,60,61,62
23284,T06,2016-01-01T19:00:00+00:00,1637.7,1232.0,1339.5,94.1,48,59,60,61
31456,T06,2016-01-01T19:10:00+00:00,1494.6,1223.4,1341.5,63.6,48,59,60,61
185551,T06,2016-01-01T19:20:00+00:00,1468.1,1228.8,1299.1,54.8,47,59,60,60
31270,T06,2016-01-01T19:30:00+00:00,1601.7,1218.5,1340.7,84.6,47,59,60,60
185474,T06,2016-01-01T19:40:00+00:00,1483.1,1225.3,1303.6,55.7,46,58,59,60
59060,T06,2016-01-01T19:50:00+00:00,1541.6,1228.6,1365.6,70.8,46,58,59,60
1943,T06,2016-01-01T20:00:00+00:00,1609.2,1238.9,1368.9,91.7,46,58,59,60
64857,T06,2016-01-01T20:10:00+00:00,1602.0,1216.0,1393.1,103.6,46,59,59,60
23208,T06,2016-01-01T20:20:00+00:00,1566.4,1229.8,1348.1,74.9,46,58,59,60
129892,T06,2016-01-01T20:30:00+00:00,1564.0,1227.3,1330.1,79.3,46,58,59,60
23203,T06,2016-01-01T20:40:00+00:00,1554.3,1217.0,1300.0,66.2,46,58,59,59
88312,T06,2016-01-01T20:50:00+00:00,1574.0,1225.1,1317.9,70.3,45,57,58,59
47818,T06,2016-01-01T21:00:00+00:00,1585.7,1218.6,1288.2,61.5,45,57,58,59
200809,T06,2016-01-01T21:10:00+00:00,1398.9,1225.1,1276.2,35.5,45,57,58,58
47821,T06,2016-01-01T21:20:00+00:00,1440.0,1204.3,1272.9,40.4,45,56,57,58
140897,T06,2016-01-01T21:30:00+00:00,1366.1,1221.6,1271.2,26.4,44,56,57,58
88344,T06,2016-01-01T21:40:00+00:00,1390.6,1222.0,1285.8,41.0,44,56,57,58
47825,T06,2016-01-01T21:50:00+00:00,1455.7,1218.5,1284.5,50.1,44,56,57,57
140919,T06,2016-01-01T22:00:00+00:00,1457.4,1209.6,1274.6,42.3,44,56,57,57
1895,T06,2016-01-01T22:10:00+00:00,1372.1,1225.0,1259.3,26.8,44,55,56,57
139142,T06,2016-01-01T22:20:00+00:00,1280.8,1225.6,1250.4,9.7,44,55,56,57
1902,T06,2016-01-01T22:30:00+00:00,1286.8,1227.6,1249.5,10.6,43,55,56,56
31380,T06,2016-01-01T22:40:00+00:00,1345.6,1222.0,1254.7,17.8,43,54,55,56
167503,T06,2016-01-01T22:50:00+00:00,1302.7,1227.7,1252.9,14.1,43,54,55,56
13126,T06,2016-01-01T23:00:00+00:00,1314.0,1228.8,1252.7,12.6,43,54,55,55
167505,T06,2016-01-01T23:10:00+00:00,1329.7,1217.6,1258.9,19.0,43,54,55,55
84367,T06,2016-01-01T23:20:00+00:00,1399.0,1215.2,1265.3,29.6,43,54,55,55
129966,T06,2016-01-01T23:30:00+00:00,1563.1,1222.5,1328.1,75.1,43,54,55,55
176466,T06,2016-01-01T23:40:00+00:00,1511.7,1237.2,1323.5,63.9,43,54,55,56
31381,T06,2016-01-01T23:50:00+00:00,1510.8,1235.0,1296.1,56.4,43,54,55,56
31857,T06,2016-01-02T00:00:00+00:00,1519.4,1240.7,1319.0,61.2,43,55,56,56
13124,T06,2016-01-02T00:10:00+00:00,1487.8,1243.1,1333.9,58.2,43,55,56,57
64879,T06,2016-01-02T00:20:00+00:00,1598.9,1257.5,1395.7,85.5,43,56,56,57
101341,T06,2016-01-02T00:30:00+00:00,1628.8,1296.7,1482.0,90.6,44,57,58,58
154065,T06,2016-01-02T00:40:00+00:00,1660.1,1338.0,1543.3,78.3,45,58,59,59
13138,T06,2016-01-02T00:50:00+00:00,1598.3,1275.4,1421.7,76.9,46,58,59,60
59118,T06,2016-01-02T01:00:00+00:00,1621.9,1269.2,1419.7,85.6,46,58,59,60
129843,T06,2016-01-02T01:10:00+00:00,1571.1,1245.8,1380.6,71.4,47,58,59,60
31862,T06,2016-01-02T01:20:00+00:00,1586.9,1224.7,1363.4,80.1,47,58,59,60
13142,T06,2016-01-02T01:30:00+00:00,1638.7,1307.2,1452.8,75.0,47,59,60,60
31865,T06,2016-01-02T01:40:00+00:00,1651.4,1286.2,1451.8,74.9,47,59,60,61
84919,T06,2016-01-02T01:50:00+00:00,1641.9,1270.0,1466.1,99.4,47,60,60,61
31868,T06,2016-01-02T02:00:00+00:00,1652.1,1308.1,1513.8,88.3,48,60,61,62
59122,T06,2016-01-02T02:10:00+00:00,1642.4,1269.2,1446.1,95.1,48,61,62,62
13140,T06,2016-01-02T02:20:00+00:00,1658.9,1275.1,1476.7,82.7,48,61,62,62
139755,T06,2016-01-02T02:30:00+00:00,1695.2,1331.2,1590.7,77.6,49,63,63,64
23162,T06,2016-01-02T02:40:00+00:00,1665.5,1343.9,1553.1,80.5,50,64,65,66
101319,T06,2016-01-02T02:50:00+00:00,1687.1,1348.9,1544.5,79.6,50,63,64,65
31878,T06,2016-01-02T03:00:00+00:00,1722.9,1413.6,1610.8,69.3,50,64,65,66
31882,T06,2016-01-02T03:10:00+00:00,1733.3,1577.3,1676.2,19.1,51,65,66,66
139762,T06,2016-01-02T03:20:00+00:00,1723.9,1505.1,1658.4,39.6,52,65,66,67
23163,T06,2016-01-02T03:30:00+00:00,1715.4,1353.7,1601.7,62.6,52,65,66,67
101316,T06,2016-01-02T03:40:00+00:00,1714.6,1336.7,1503.4,94.0,52,65,66,67
139766,T06,2016-01-02T03:50:00+00:00,1647.4,1240.7,1460.3,110.3,51,63,65,65
31889,T06,2016-01-02T04:00:00+00:00,1564.6,1236.1,1340.1,73.6,50,61,62,63
58924,T06,2016-01-02T04:10:00+00:00,1558.4,1185.8,1301.2,67.1,49,59,60,61
167346,T06,2016-01-02T04:20:00+00:00,1603.7,1240.3,1402.8,99.9,48,58,59,60
176130,T06,2016-01-02T04:30:00+00:00,1639.8,1255.7,1466.1,110.8,47,58,59,59
1830,T06,2016-01-02T04:40:00+00:00,1693.2,1367.8,1576.0,71.4,47,59,59,60
84930,T06,2016-01-02T04:50:00+00:00,1673.4,1243.6,1499.3,135.3,48,60,61,62
139206,T06,2016-01-02T05:00:00+00:00,1662.2,1291.4,1511.0,104.1,48,59,60,61
64710,T06,2016-01-02T05:10:00+00:00,1702.6,1409.8,1612.4,56.4,48,62,63,63
84446,T06,2016-01-02T05:20:00+00:00,1660.5,1271.6,1481.0,100.8,49,62,63,64
1831,T06,2016-01-02T05:30:00+00:00,1588.5,1237.7,1374.7,65.9,48,60,61,62
47870,T06,2016-01-02T05:40:00+00:00,1651.5,1235.1,1465.7,107.3,48,60,61,61
176453,T06,2016-01-02T05:50:00+00:00,1657.1,1235.3,1427.6,120.3,48,59,61,61
58931,T06,2016-01-02T06:00:00+00:00,1676.9,1270.6,1557.6,105.3,48,60,61,62
64721,T06,2016-01-02T06:10:00+00:00,1698.6,1427.8,1604.6,56.8,48,62,63,64
154078,T06,2016-01-02T06:20:00+00:00,1663.1,1226.0,1474.7,128.1,48,62,63,64
73984,T06,2016-01-02T06:30:00+00:00,1651.1,1313.3,1520.8,82.0,48,61,62,62
23261,T06,2016-01-02T06:40:00+00:00,1565.8,1213.8,1292.7,69.7,48,58,60,61
31906,T06,2016-01-02T06:50:00+00:00,1263.6,0.0,408.3,540.2,47,54,57,56
1834,T06,2016-01-02T07:00:00+00:00,174.7,0.0,92.3,64.3,46,51,54,51
185539,T06,2016-01-02T07:10:00+00:00,252.5,51.6,135.3,60.1,44,48,50,48
1836,T06,2016-01-02T07:20:00+00:00,259.3,166.7,219.8,24.2,42,46,47,47
129964,T06,2016-01-02T07:30:00+00:00,198.0,81.2,136.0,31.9,40,43,45,44
139077,T06,2016-01-02T07:40:00+00:00,99.3,0.0,38.8,41.1,39,41,43,41
12962,T06,2016-01-02T07:50:00+00:00,0.0,0.0,0.0,0.0,37,39,42,39
31303,T06,2016-01-02T08:00:00+00:00,0.0,0.0,0.0,0.0,36,37,40,37
176464,T06,2016-01-02T08:10:00+00:00,0.0,0.0,0.0,0.0,35,35,38,36
1842,T06,2016-01-02T08:20:00+00:00,0.0,0.0,0.0,0.0,34,34,37,34
58942,T06,2016-01-02T08:30:00+00:00,0.0,0.0,0.0,0.0,33,33,35,33
31323,T06,2016-01-02T08:40:00+00:00,0.0,0.0,0.0,0.0,32,34,35,34
139784,T06,2016-01-02T08:50:00+00:00,87.0,0.0,52.3,25.4,31,35,35,35
31915,T06,2016-01-02T09:00:00+00:00,36.8,0.0,3.0,7.9,31,35,35,35
64734,T06,2016-01-02T09:10:00+00:00,0.0,0.0,0.0,0.0,30,35,35,35
1845,T06,2016-01-02T09:20:00+00:00,0.0,0.0,0.0,0.0,30,35,35,35
167387,T06,2016-01-02T09:30:00+00:00,0.0,0.0,0.0,0.0,29,35,35,34
58952,T06,2016-01-02T09:40:00+00:00,0.0,0.0,0.0,0.0,29,34,35,34
64742,T06,2016-01-02T09:50:00+00:00,0.0,0.0,0.0,0.0,29,34,34,34
58956,T06,2016-01-02T10:00:00+00:00,218.7,0.0,121.0,76.8,28,34,34,34
64745,T06,2016-01-02T10:10:00+00:00,264.1,208.3,234.2,17.1,28,34,34,33
23280,T06,2016-01-02T10:20:00+00:00,275.3,195.9,230.6,20.3,28,33,33,33
139797,T06,2016-01-02T10:30:00+00:00,1367.6,190.2,869.5,484.8,28,34,34,33
64747,T06,2016-01-02T10:40:00+00:00,1266.2,1225.3,1248.6,7.0,30,36,36,35
139800,T06,2016-01-02T10:50:00+00:00,1262.4,109.9,738.9,511.3,32,37,38,37
64753,T06,2016-01-02T11:00:00+00:00,258.7,179.8,230.6,16.7,32,37,38,38
139803,T06,2016-01-02T11:10:00+00:00,266.1,171.0,210.8,15.9,32,38,38,38
64755,T06,2016-01-02T11:20:00+00:00,1367.3,216.4,623.5,454.9,31,37,37,38
64757,T06,2016-01-02T11:30:00+00:00,1417.0,305.8,1170.7,265.3,32,38,38,38
139169,T06,2016-01-02T11:40:00+00:00,1359.8,218.9,659.9,476.8,33,38,38,38
167395,T06,2016-01-02T11:50:00+00:00,1510.1,1207.4,1268.7,53.3,34,40,40,40
84404,T06,2016-01-02T12:00:00+00:00,1266.9,170.9,288.4,250.0,35,41,41,41
139809,T06,2016-01-02T12:10:00+00:00,278.8,177.4,224.1,27.6,34,41,41,41
64760,T06,2016-01-02T12:20:00+00:00,288.9,148.5,221.5,32.4,34,41,41,41
31944,T06,2016-01-02T12:30:00+00:00,227.1,145.3,174.4,17.5,33,40,41,41
23002,T06,2016-01-02T12:40:00+00:00,174.7,95.6,129.3,20.5,33,40,40,41
31310,T06,2016-01-02T12:50:00+00:00,113.5,34.7,73.1,22.9,32,41,41,41
176140,T06,2016-01-02T13:00:00+00:00,142.3,14.7,91.9,43.0,32,40,40,40
139084,T06,2016-01-02T13:10:00+00:00,201.9,94.4,124.6,29.8,32,40,40,40
31949,T06,2016-01-02T13:20:00+00:00,147.0,70.5,107.2,17.8,31,40,40,40
139818,T06,2016-01-02T13:30:00+00:00,176.1,74.5,123.1,26.5,31,39,39,39
176139,T06,2016-01-02T13:40:00+00:00,177.2,0.0,89.3,47.6,31,39,39,39
185576,T06,2016-01-02T13:50:00+00:00,111.4,0.0,57.0,32.8,31,39,39,39
84298,T06,2016-01-02T14:00:00+00:00,154.2,33.6,86.7,22.8,30,39,39,38
185578,T06,2016-01-02T14:10:00+00:00,175.4,85.8,135.7,26.3,30,38,38,38
84978,T06,2016-01-02T14:20:00+00:00,233.7,85.2,141.9,40.6,30,38,38,38
64762,T06,2016-01-02T14:30:00+00:00,314.8,190.7,251.1,31.0,30,37,37,37
64763,T06,2016-01-02T14:40:00+00:00,269.6,151.4,205.9,32.9,30,37,37,37
84380,T06,2016-01-02T14:50:00+00:00,204.9,146.7,176.2,12.2,29,36,37,37
176148,T06,2016-01-02T15:00:00+00:00,188.8,109.4,155.6,20.5,29,36,36,36
31394,T06,2016-01-02T15:10:00+00:00,159.1,37.6,94.1,32.1,29,36,36,36
139148,T06,2016-01-02T15:20:00+00:00,223.4,53.6,119.7,48.2,29,36,36,36
13000,T06,2016-01-02T15:30:00+00:00,247.6,153.0,185.8,22.9,29,36,36,36
64772,T06,2016-01-02T15:40:00+00:00,240.7,154.2,195.0,20.4,29,35,35,35
176149,T06,2016-01-02T15:50:00+00:00,195.6,46.1,131.3,48.1,29,35,35,35
58980,T06,2016-01-02T16:00:00+00:00,138.6,0.0,55.3,49.5,28,35,35,35
84321,T06,2016-01-02T16:10:00+00:00,146.9,64.5,112.5,20.1,28,35,35,35
84984,T06,2016-01-02T16:20:00+00:00,191.6,44.3,97.6,47.0,28,35,35,35
58982,T06,2016-01-02T16:30:00+00:00,195.8,128.0,156.8,15.6,28,35,35,35
58984,T06,2016-01-02T16:40:00+00:00,170.6,108.2,131.6,13.0,28,34,35,34
31967,T06,2016-01-02T16:50:00+00:00,176.1,93.8,126.8,18.1,28,34,34,34
13008,T06,2016-01-02T17:00:00+00:00,141.5,51.3,104.1,16.5,28,34,34,34
23016,T06,2016-01-02T17:10:00+00:00,138.9,9.8,85.8,38.8,28,34,34,34
176154,T06,2016-01-02T17:20:00+00:00,103.6,34.1,79.5,14.2,28,34,34,34
31973,T06,2016-01-02T17:30:00+00:00,70.5,13.6,49.8,19.1,28,34,34,34
58825,T06,2016-01-02T17:40:00+00:00,69.6,0.0,40.5,22.1,27,34,34,33
7746,T06,2016-01-02T17:50:00+00:00,0.0,0.0,0.0,0.0,27,34,34,33
84388,T06,2016-01-02T18:00:00+00:00,0.0,0.0,0.0,0.0,27,33,34,33
139158,T06,2016-01-02T18:10:00+00:00,87.2,0.0,62.2,28.0,27,33,33,33
84389,T06,2016-01-02T18:20:00+00:00,84.7,43.8,60.5,10.5,27,33,33,33
113842,T06,2016-01-02T18:30:00+00:00,129.6,72.6,116.5,14.0,27,33,33,33
176161,T06,2016-01-02T18:40:00+00:00,159.8,0.0,50.3,35.5,27,33,33,32
7753,T06,2016-01-02T18:50:00+00:00,279.4,162.5,231.9,29.9,26,32,32,32
1744,T06,2016-01-02T19:00:00+00:00,1373.6,254.1,442.9,341.9,26,32,32,32
58830,T06,2016-01-02T19:10:00+00:00,1253.5,1240.6,1248.6,1.4,27,34,34,33
23210,T06,2016-01-02T19:20:00+00:00,1257.0,251.6,642.5,467.2,29,35,36,35
176383,T06,2016-01-02T19:30:00+00:00,316.2,140.1,261.5,42.4,30,35,35,36
58834,T06,2016-01-02T19:40:00+00:00,251.2,111.0,178.3,42.3,29,36,36,36
113852,T06,2016-01-02T19:50:00+00:00,250.6,138.2,184.1,31.9,29,35,35,36
129904,T06,2016-01-02T20:00:00+00:00,200.0,156.7,183.0,9.6,29,35,35,36
58836,T06,2016-01-02T20:10:00+00:00,210.3,101.1,160.0,30.8,29,35,35,35
1748,T06,2016-01-02T20:20:00+00:00,110.3,52.1,80.2,21.4,28,35,35,35
185496,T06,2016-01-02T20:30:00+00:00,58.5,0.0,13.7,15.0,28,35,35,35
31292,T06,2016-01-02T20:40:00+00:00,7.3,0.0,0.7000000000000001,1.9,28,35,35,35
113858,T06,2016-01-02T20:50:00+00:00,67.5,0.0,22.9,21.1,28,35,35,35
113860,T06,2016-01-02T21:00:00+00:00,94.0,58.6,74.8,10.8,27,35,35,35
58839,T06,2016-01-02T21:10:00+00:00,88.6,67.6,76.9,5.6,27,34,35,34
1751,T06,2016-01-02T21:20:00+00:00,112.6,79.7,97.9,9.4,27,34,35,34
58842,T06,2016-01-02T21:30:00+00:00,129.2,76.4,107.5,16.7,27,34,34,34
101366,T06,2016-01-02T21:40:00+00:00,158.2,118.9,135.9,10.9,26,34,34,33
200816,T06,2016-01-02T21:50:00+00:00,160.5,0.0,88.2,58.2,26,33,34,33
101359,T06,2016-01-02T22:00:00+00:00,15.3,0.0,1.3,2.9,26,33,34,33
129787,T06,2016-01-02T22:10:00+00:00,14.4,0.0,3.5,4.6,26,33,34,33
113867,T06,2016-01-02T22:20:00+00:00,267.5,0.0,85.2,119.0,26,33,33,33
129785,T06,2016-01-02T22:30:00+00:00,270.6,255.4,262.5,3.1,26,32,32,32
176395,T06,2016-01-02T22:40:00+00:00,262.0,230.5,247.6,6.8,26,32,32,32
7771,T06,2016-01-02T22:50:00+00:00,287.7,229.2,245.0,13.8,26,32,32,32
